EdgeNumber Node1 Node2 FullCorrelation PartialCorrelation
912 9 44 -0.49 -0.04
913 10 44 -3.61 -0.15
914 11 44 -5.54 -1.32
915 12 44 -1.18 -0.27
916 13 44 1.74 0.94
917 14 44 -0.69 -0.16
918 15 44 -0.27 -0.22
919 16 44 0.08 -0.03
920 17 44 1.65 0.29
921 18 44 3.54 0.65
922 19 44 -5.31 -1.14
923 20 44 -2.76 -0.64
924 21 44 2.54 1.21
925 22 44 1.57 0.21
926 23 44 -0.36 -0.52
927 24 44 1.06 -0.15
928 25 44 7.95 2.35
929 26 44 2.48 0.18
930 27 44 -1.78 -0.81
931 28 44 5.92 1.34
932 29 44 2.65 0.28
933 30 44 -1.06 0.00
934 31 44 4.64 1.45
935 32 44 -1.66 -0.22
936 33 44 2.09 0.66
937 34 44 -2.22 -0.79
938 35 44 1.21 0.19
939 36 44 -7.60 -1.45
940 37 44 5.94 1.77
941 38 44 0.52 0.05
942 39 44 -3.13 -0.92
943 40 44 -0.97 -0.48
944 41 44 -1.71 -0.66
945 42 44 0.63 0.11
946 43 44 0.00 0.17
947 1 45 -0.34 -0.21
948 2 45 -1.00 -0.60
949 3 45 -0.47 0.04
950 4 45 -3.09 -0.30
951 5 45 1.72 0.06
952 6 45 -1.65 -0.30
953 7 45 4.45 0.80
954 8 45 -0.66 -0.33
955 9 45 0.42 -0.16
956 10 45 0.87 0.28
957 11 45 3.27 0.57
958 12 45 0.08 -0.33
959 13 45 3.47 0.74
960 14 45 -0.84 -0.29
961 15 45 5.50 1.26
962 16 45 -0.38 -0.01
963 17 45 0.96 0.10
964 18 45 -3.27 -0.63
965 19 45 1.61 -0.10
966 20 45 -0.63 -0.06
967 21 45 2.54 0.15
968 22 45 -0.81 -0.06
969 23 45 0.52 -0.09
970 24 45 -4.62 -1.40
971 25 45 -4.51 -0.63
972 26 45 -3.62 -0.43
973 27 45 1.28 0.76
974 28 45 0.37 0.28
975 29 45 3.61 0.63
976 30 45 -1.16 -0.41
977 31 45 0.10 0.28
978 32 45 -1.00 -0.10
979 33 45 0.88 0.11
980 34 45 -0.96 -0.09
981 35 45 -1.59 -0.35
982 36 45 3.95 0.64
983 37 45 3.07 1.77
984 38 45 0.72 -0.05
985 39 45 -0.97 -0.14
986 40 45 3.52 1.14
987 41 45 -1.00 -0.13
988 42 45 -1.84 0.07
989 43 45 -1.83 -0.48
990 44 45 -4.56 -1.24
991 1 46 -1.82 -0.28
992 2 46 -5.91 -0.93
993 3 46 -0.17 0.10
994 4 46 -2.86 -0.32
995 5 46 7.51 1.38
996 6 46 -1.05 -0.39
997 7 46 1.09 0.16
998 8 46 -0.43 -0.19
999 9 46 1.04 -0.23
1000 10 46 -1.85 -0.24
1001 11 46 5.55 1.12
1002 12 46 4.94 0.76
1003 13 46 5.09 0.45
1004 14 46 -1.57 -0.41
1005 15 46 -1.56 -0.22
1006 16 46 -0.98 -0.21
1007 17 46 5.13 0.79
1008 18 46 -4.11 -0.77
1009 19 46 -2.36 -0.78
1010 20 46 -0.07 -0.07
1011 21 46 2.09 0.10
1012 22 46 -0.64 0.10
1013 23 46 -1.55 -0.44
1014 24 46 4.60 1.40
1015 25 46 1.46 0.02
1016 26 46 -0.84 0.09
1017 27 46 -3.26 -0.00
1018 28 46 -2.40 -0.91
1019 29 46 1.79 0.45
1020 30 46 0.11 -0.07
1021 31 46 8.10 1.50
1022 32 46 -0.94 -0.25
1023 33 46 -4.99 -0.98
1024 34 46 -5.58 -0.71
1025 35 46 -1.42 -0.06
1026 36 46 -1.71 -0.91
1027 37 46 -2.00 -0.28
1028 38 46 -0.20 0.14
1029 39 46 -4.16 -1.25
1030 40 46 0.59 -0.15
1031 41 46 -3.69 -0.34
1032 42 46 -2.92 -0.31
1033 43 46 -0.40 0.03
1034 44 46 1.09 -0.04
1035 45 46 -0.87 -0.22
1036 1 47 0.18 -0.02
1037 2 47 0.29 0.22
1038 3 47 -1.31 -0.25
1039 4 47 -2.58 -0.00
1040 5 47 -0.52 -0.45
1041 6 47 -2.13 -0.35
1042 7 47 1.20 0.28
1043 8 47 -0.43 -0.13
1044 9 47 0.52 0.14
1045 10 47 -0.05 0.04
1046 11 47 1.77 -0.06
1047 12 47 2.87 0.95
1048 13 47 1.27 0.04
1049 14 47 -0.77 -0.21
1050 15 47 6.06 1.09
1051 16 47 -0.69 -0.08
1052 17 47 -0.00 -0.02
1053 18 47 -3.21 -0.70
1054 19 47 3.99 0.83
1055 20 47 -1.83 -0.23
1056 21 47 2.91 0.79
1057 22 47 0.43 0.09
1058 23 47 0.92 0.11
1059 24 47 -2.60 -0.78
1060 25 47 -1.92 -0.15
1061 26 47 -1.80 -0.44
1062 27 47 -0.49 0.11
1063 28 47 1.17 0.28
1064 29 47 4.83 0.86
1065 30 47 -1.48 -0.22
1066 31 47 2.45 1.13
1067 32 47 -2.09 -0.15
1068 33 47 2.56 0.50
1069 34 47 -1.59 -0.32
1070 35 47 -1.92 -0.56
1071 36 47 3.33 0.74
1072 37 47 4.05 1.79
1073 38 47 0.96 0.07
1074 39 47 0.29 0.50
1075 40 47 1.91 0.32
1076 41 47 -1.06 -0.03
1077 42 47 -2.76 -0.17
1078 43 47 -2.70 -0.59
1079 44 47 -2.22 -0.65
1080 45 47 8.16 2.10
1081 46 47 -0.99 -0.29
1082 1 48 -2.71 -0.36
1083 2 48 -0.27 0.25
1084 3 48 -3.42 -0.67
1085 4 48 -2.22 -1.03
1086 5 48 -0.56 -0.09
1087 6 48 -1.86 -0.39
1088 7 48 -4.98 -1.03
1089 8 48 -1.53 -0.33
1090 9 48 1.41 0.63
1091 10 48 0.17 0.16
1092 11 48 -1.88 -0.76
1093 12 48 0.17 0.01
1094 13 48 -0.90 -0.49
1095 14 48 -3.18 -0.69
1096 15 48 -3.43 -1.37
1097 16 48 -1.87 -0.39
1098 17 48 1.26 0.19
1099 18 48 2.42 0.57
1100 19 48 -1.94 -0.65
1101 20 48 -1.80 -0.32
1102 21 48 0.20 0.03
1103 22 48 2.46 0.83
1104 23 48 -0.30 -0.07
1105 24 48 4.98 1.84
1106 25 48 4.75 0.69
1107 26 48 2.02 0.04
1108 27 48 -2.80 -0.80
1109 28 48 2.64 0.45
1110 29 48 4.75 1.88
1111 30 48 -2.01 -0.30
1112 31 48 3.45 0.39
1113 32 48 -2.02 -0.28
1114 33 48 3.02 1.03
1115 34 48 -1.26 -0.48
1116 35 48 -1.39 -0.30
1117 36 48 -1.83 -0.56
1118 37 48 2.10 0.11
1119 38 48 -0.90 -0.20
1120 39 48 1.00 0.34
1121 40 48 0.05 -0.04
1122 41 48 0.06 0.31
1123 42 48 -0.03 -0.08
1124 43 48 -0.28 0.02
1125 44 48 6.77 1.63
1126 45 48 -3.07 -0.65
1127 46 48 3.74 1.17
1128 47 48 -1.63 -0.51
1129 1 49 0.80 0.26
1130 2 49 -1.11 0.26
1131 3 49 -3.43 -0.66
1132 4 49 -3.21 -0.62
1133 5 49 7.75 2.57
1134 6 49 -0.74 -0.36
1135 7 49 5.58 0.62
1136 8 49 -0.92 0.14
1137 9 49 5.88 1.25
1138 10 49 5.95 2.42
1139 11 49 7.74 2.57
1140 12 49 -3.79 -2.40
1141 13 49 4.83 0.72
1142 14 49 -2.53 -0.57
1143 15 49 -2.96 -1.10
1144 16 49 -2.37 -0.36
1145 17 49 2.95 0.49
1146 18 49 -3.84 -0.21
1147 19 49 1.61 -0.00
1148 20 49 0.32 0.06
1149 21 49 6.05 1.06
1150 22 49 -0.63 0.09
1151 23 49 -0.91 -0.16
1152 24 49 -3.33 -1.02
1153 25 49 -1.79 0.45
1154 26 49 -6.61 -1.11
1155 27 49 -2.01 -0.23
1156 28 49 0.51 0.38
1157 29 49 2.49 1.65
1158 30 49 1.01 0.03
1159 31 49 -1.96 -0.80
1160 32 49 0.49 -0.14
1161 33 49 2.43 0.97
1162 34 49 -0.71 0.20
1163 35 49 -2.33 -0.24
1164 36 49 6.93 1.88
1165 37 49 -4.93 -0.63
1166 38 49 -0.51 -0.02
1167 39 49 -0.10 0.34
1168 40 49 -0.64 -0.20
1169 41 49 2.61 1.48
1170 42 49 -2.32 -0.32
1171 43 49 0.66 -0.03
1172 44 49 -1.81 0.13
1173 45 49 2.87 0.51
1174 46 49 -0.61 -0.54
1175 47 49 1.00 0.05
1176 48 49 3.23 1.79
1177 1 50 -1.49 -0.26
1178 2 50 -0.59 -0.23
1179 3 50 0.22 -0.14
1180 4 50 -1.30 -0.25
1181 5 50 -1.17 -0.51
1182 6 50 -0.01 -0.03
1183 7 50 -2.31 -0.23
1184 8 50 -0.56 -0.30
1185 9 50 0.40 0.04
1186 10 50 -4.81 -0.59
1187 11 50 -0.72 -0.12
1188 12 50 2.23 0.44
1189 13 50 2.15 0.27
1190 14 50 -0.09 -0.09
1191 15 50 0.33 0.02
1192 16 50 -0.49 -0.17
1193 17 50 1.32 0.15
1194 18 50 0.27 -0.01
1195 19 50 -3.91 -0.69
1196 20 50 0.44 0.09
1197 21 50 1.95 0.37
1198 22 50 0.75 0.02
1199 23 50 -0.75 -0.30
1200 24 50 -0.91 -0.41
1201 25 50 1.19 -0.07
1202 26 50 1.62 0.26
1203 27 50 -1.03 -0.22
1204 28 50 0.84 -0.11
1205 29 50 2.22 0.25
1206 30 50 -0.23 -0.10
1207 31 50 4.04 0.85
1208 32 50 -0.06 -0.03
1209 33 50 0.21 0.05
1210 34 50 -1.67 -0.14
1211 35 50 0.39 -0.10
1212 36 50 -5.43 -0.94
1213 37 50 1.44 0.09
1214 38 50 -0.51 -0.11
1215 39 50 -3.69 -0.72
1216 40 50 -1.55 -0.32
1217 41 50 -1.36 -0.26
1218 42 50 -1.12 -0.18
1219 43 50 0.44 0.17
1220 44 50 4.33 0.58
1221 45 50 -2.11 -0.41
1222 46 50 3.51 0.52
1223 47 50 -1.19 -0.25
1224 48 50 1.90 0.20
1225 49 50 -3.20 -0.61
1226 1 51 0.62 0.14
1227 2 51 1.87 0.14
1228 3 51 1.18 0.19
1229 4 51 -0.13 -0.63
1230 5 51 -2.34 -0.45
1231 6 51 -1.41 -0.49
1232 7 51 -0.09 0.08
1233 8 51 1.76 0.45
1234 9 51 -1.23 -0.10
1235 10 51 0.61 0.09
1236 11 51 -2.36 -0.38
1237 12 51 -2.39 -0.55
1238 13 51 -2.18 -0.36
1239 14 51 1.33 0.17
1240 15 51 0.26 0.13
1241 16 51 1.76 0.30
1242 17 51 -1.66 -0.31
1243 18 51 1.62 0.02
1244 19 51 -0.23 -0.08
1245 20 51 0.51 0.09
1246 21 51 -1.12 -0.10
1247 22 51 -0.12 -0.11
1248 23 51 0.41 0.07
1249 24 51 -0.98 -0.17
1250 25 51 -1.07 -0.31
1251 26 51 0.13 -0.15
1252 27 51 -0.25 -0.41
1253 28 51 -0.43 -0.11
1254 29 51 -1.98 -0.56
1255 30 51 0.28 0.07
1256 31 51 -3.36 -0.71
1257 32 51 -0.34 -0.23
1258 33 51 0.38 -0.00
1259 34 51 1.94 0.12
1260 35 51 -0.00 -0.12
1261 36 51 -0.56 -0.10
1262 37 51 0.20 -0.17
1263 38 51 -1.17 -0.36
1264 39 51 0.77 0.22
1265 40 51 -1.21 -0.33
1266 41 51 0.57 -0.02
1267 42 51 2.35 0.54
1268 43 51 0.43 -0.04
1269 44 51 0.03 0.00
1270 45 51 -1.32 -0.29
1271 46 51 -1.75 -0.04
1272 47 51 -1.74 -0.42
1273 48 51 -0.64 -0.11
1274 49 51 -0.59 -0.04
1275 50 51 -0.25 0.12
1276 1 52 0.27 0.06
1277 2 52 1.18 0.01
1278 3 52 0.62 0.02
1279 4 52 1.15 -0.24
1280 5 52 -2.33 -0.18
1281 6 52 -0.48 -0.04
1282 7 52 -2.02 -0.27
1283 8 52 0.90 0.19
1284 9 52 -1.66 -0.04
1285 10 52 0.12 -0.06
1286 11 52 -4.24 -1.03
1287 12 52 -2.13 -0.25
1288 13 52 -1.73 0.05
1289 14 52 1.32 0.34
1290 15 52 -0.48 -0.16
1291 16 52 1.13 0.21
1292 17 52 -1.40 -0.32
1293 18 52 2.41 0.09
1294 19 52 -0.88 -0.23
1295 20 52 -1.54 -0.39
1296 21 52 -2.56 -0.45
1297 22 52 0.30 0.03
1298 23 52 1.03 0.30
1299 24 52 0.77 0.11
1300 25 52 0.24 -0.20
1301 26 52 0.17 -0.56
1302 27 52 -0.21 -0.26
1303 28 52 0.06 -0.11
1304 29 52 -0.47 0.03
1305 30 52 -1.27 -0.27
1306 31 52 -1.51 -0.46
1307 32 52 -0.68 -0.10
1308 33 52 -0.06 -0.03
1309 34 52 1.07 -0.20
1310 35 52 -0.55 -0.34
1311 36 52 -1.05 -0.01
1312 37 52 2.39 0.33
1313 38 52 -0.81 -0.25
1314 39 52 1.73 0.51
1315 40 52 -0.58 -0.38
1316 41 52 0.95 0.07
1317 42 52 3.27 0.85
1318 43 52 -1.29 -0.43
1319 44 52 1.55 0.30
1320 45 52 -1.05 -0.15
1321 46 52 -0.96 0.23
1322 47 52 -1.06 -0.20
1323 48 52 0.57 -0.04
1324 49 52 -1.14 0.05
1325 50 52 -0.23 -0.04
1326 51 52 1.10 0.11
1327 1 53 0.73 0.08
1328 2 53 -0.28 0.28
1329 3 53 -1.59 -0.28
1330 4 53 -1.44 -0.15
1331 5 53 3.40 0.51
1332 6 53 0.38 0.03
1333 7 53 3.51 0.56
1334 8 53 -0.24 0.03
1335 9 53 1.20 0.04
1336 10 53 0.80 0.02
1337 11 53 2.66 0.12
1338 12 53 0.67 0.12
1339 13 53 1.36 -0.10
1340 14 53 -1.03 -0.31
1341 15 53 0.33 0.01
1342 16 53 -1.27 -0.22
1343 17 53 0.28 -0.13
1344 18 53 -2.00 -0.01
1345 19 53 2.66 0.52
1346 20 53 -0.58 -0.20
1347 21 53 2.14 0.41
1348 22 53 -0.13 0.00
1349 23 53 -0.34 -0.03
1350 24 53 -0.42 -0.11
1351 25 53 -1.15 0.01
1352 26 53 -2.49 -0.40
1353 27 53 -1.35 -0.23
1354 28 53 -1.77 -0.36
1355 29 53 -0.79 -0.28
1356 30 53 0.18 -0.08
1357 31 53 0.84 0.29
1358 32 53 -0.18 -0.11
1359 33 53 -1.74 -0.34
1360 34 53 -1.54 -0.22
1361 35 53 -0.82 -0.09
1362 36 53 2.86 0.33
1363 37 53 -2.38 -0.32
1364 38 53 -0.33 -0.09
1365 39 53 -0.47 0.11
1366 40 53 -0.71 -0.16
1367 41 53 -0.61 -0.01
1368 42 53 -1.51 -0.18
1369 43 53 0.40 0.07
1370 44 53 -1.94 -0.22
1371 45 53 1.47 0.14
1372 46 53 0.92 0.02
1373 47 53 1.61 0.38
1374 48 53 -1.91 -0.42
1375 49 53 1.33 -0.06
1376 50 53 0.12 0.33
1377 51 53 -1.19 -0.24
1378 52 53 -0.80 -0.01
1379 1 54 -0.05 -0.01
1380 2 54 1.11 0.24
1381 3 54 -0.45 -0.09
1382 4 54 -1.36 -0.53
1383 5 54 0.79 0.26
1384 6 54 0.84 0.15
1385 7 54 0.21 -0.09
1386 8 54 -0.72 -0.19
1387 9 54 1.22 0.15
1388 10 54 -1.75 -0.42
1389 11 54 -0.50 -0.15
1390 12 54 -1.86 -0.54
1391 13 54 1.97 0.42
1392 14 54 -0.46 -0.17
1393 15 54 -0.07 -0.06
1394 16 54 -0.13 0.03
1395 17 54 0.04 -0.17
1396 18 54 -0.10 -0.08
1397 19 54 -1.30 -0.30
1398 20 54 0.13 -0.06
1399 21 54 0.58 -0.19
1400 22 54 0.77 0.13
1401 23 54 0.54 0.14
1402 24 54 -2.01 -0.51
1403 25 54 -1.10 -0.15
1404 26 54 -1.36 -0.27
1405 27 54 -0.28 -0.18
1406 28 54 0.69 0.05
1407 29 54 0.94 0.23
1408 30 54 0.27 -0.08
1409 31 54 -0.15 -0.07
1410 32 54 1.11 0.17
1411 33 54 -0.08 -0.04
1412 34 54 -0.61 -0.30
1413 35 54 -0.23 -0.18
1414 36 54 -1.27 -0.31
1415 37 54 0.20 0.15
1416 38 54 -0.65 -0.19
1417 39 54 -0.74 0.34
1418 40 54 -1.50 -0.39
1419 41 54 0.55 0.11
1420 42 54 0.29 0.27
1421 43 54 -0.21 -0.14
1422 44 54 0.50 0.02
1423 45 54 -0.23 -0.16
1424 46 54 0.66 0.27
1425 47 54 -0.81 -0.25
1426 48 54 0.46 0.05
1427 49 54 0.71 0.03
1428 50 54 0.52 0.01
1429 51 54 0.26 0.07
1430 52 54 -1.17 -0.48
1431 53 54 0.63 0.18
1432 1 55 -1.54 -0.36
1433 2 55 -0.65 -0.06
1434 3 55 1.01 0.14
1435 4 55 -0.53 0.07
1436 5 55 1.63 -0.10
1437 6 55 0.70 0.02
1438 7 55 4.01 0.81
1439 8 55 -0.46 -0.09
1440 9 55 0.86 0.24
1441 10 55 -0.17 -0.05
1442 11 55 1.62 0.14
1443 12 55 1.21 0.17
1444 13 55 0.81 0.07
1445 14 55 -0.90 -0.35
1446 15 55 0.12 -0.00
1447 16 55 0.87 0.08
1448 17 55 0.73 0.06
1449 18 55 -1.53 -0.12
1450 19 55 0.28 0.04
1451 20 55 0.68 0.05
1452 21 55 -1.48 -0.55
1453 22 55 1.56 0.28
1454 23 55 0.41 0.13
1455 24 55 0.06 0.05
1456 25 55 0.13 0.17
1457 26 55 -2.08 -0.42
1458 27 55 -0.24 -0.03
1459 28 55 -2.74 -0.52
1460 29 55 -2.38 -0.63
1461 30 55 1.04 0.08
1462 31 55 0.71 0.10
1463 32 55 0.40 -0.03
1464 33 55 -1.93 -0.24
1465 34 55 -1.76 -0.16
1466 35 55 0.38 0.02
1467 36 55 0.43 -0.04
1468 37 55 -0.24 0.17
1469 38 55 0.29 0.03
1470 39 55 -2.52 -0.56
1471 40 55 0.83 0.11
1472 41 55 0.33 0.14
1473 42 55 -0.81 -0.18
1474 43 55 -0.24 -0.10
1475 44 55 -1.15 -0.09
1476 45 55 1.66 0.33
1477 46 55 2.10 0.26
1478 47 55 0.76 0.20
1479 48 55 -1.90 -0.31
1480 49 55 -1.02 -0.34
1481 50 55 0.48 0.13
1482 51 55 -2.13 -0.44
1483 52 55 -0.97 -0.17
1484 53 55 1.91 0.31
1485 54 55 -0.10 -0.03
